Plot,StandID,Quadrat,AdultSp,Azimuth,DistanceToPlot,AdultTag,AdultDBH,EmptyCells,PlantCover,Personnel,MossCover,Notes,Year,Surveyed,UTM_X,UTM_Y
25,FOREG_31,1404,ABAM,205,2.1,1500406,53.1,6,94,GRR CJD,55,"2019:Very old nurse log in middle of plot; 2020:15 TS lost; 2021:PT-5058, DBH 53.4; 2022:; 2023:",2023,1,,
26,FOREG_31,1205,THPL,157,1.65,1200459,126.6,5,95,CJD,20,"2019:Prev tag 5179, b/t 2 large THPL; 2020:2 TS lost, branch fell on plot ; 2021:PT-5179; 2022:litter; 2023:",2023,1,,
27,FOREG_31,1103,PSME,128,2.2,1300400,171.9,12,88,CJD,1,2019:Prev tag 5256; 2020:; 2021:; 2022:; 2023:,2023,1,,
28,FOREG_31,1401,PSME,207,2,1500227,166,85,15,SRZ BWG GET,0,2019:; 2020:; 2021:; 2022:litter; 2023:,2023,1,,
29,FOREG_02,2,THPL,44,2,0100656,80.4,1,99,SRZ GET,98,2019:; 2020:; 2021:7 TS lost; 2022:; 2023:,2023,1,,
30,FOREG_02,2,TSHE,114,2.7,0100231,59.9,0,100,CJD GET,95,2019:; 2020:; 2021:No TS from 2020; 2022:; 2023:,2023,1,,
31,FOREG_02,0,PSME,12,3,0100838,159.8,5,95,CJD GET SRZ BWG,20,2019:; 2020:; 2021:Log data not gathered in 2021; 2022:4 TS lost; 2023:,2023,1,,
32,FOREG_02,100,THPL,222,2.2,0200633,61,2,90,SRZ GET,50,2019:; 2020:; 2021:1 TS lost; 2022:; 2023:New plot ,2023,1,,
33,FOREG_02,300,TABR,30,0.9,0100933,26.9,0,100,CJD GET,90,2019:; 2020:1 TS lost; 2021:; 2022:; 2023:,2023,1,,
34,FOREG_02,1,TSHE,66,1.1,0100806,,2,98,CJD BWG,60,2019:; 2020:; 2021:Log data not gathered in 2021; 2022:Double check tag; 2023:Nearby tree = 02-00806 PSME 55.4 cm DBH,2023,1,,
35,FOREG_02,106,TSHE,96,1.5,0200793,108.9,4,96,CJD GET,65,2019:; 2020:; 2021:No TS lost from 2020; 2022:; 2023:CHECK: species ID of paired tree,2023,1,,
36,FOREG_02,7,TSHE,200,0.9,0100132,45.9,8,92,CJD GET,10,2019:; 2020:1 TS lost; 2021:; 2022:; 2023:,2023,1,,
37,FOREG_02,606,PSME,385,1.1,0600119,93,10,90,SRZ GEL,13,2019:; 2020:; 2021:; 2022:All TS lost; 2023:,2023,1,,
38,FOREG_02,506,TSHE,152,1.6,0600016,44,2,98,SRZ GEL,15,2019:; 2020:2 TS lost; 2021:2 TS lost; 2022:; 2023:,2023,1,,
39,FOREG_02,506,PSME,6,2.6,0600033,139,6,94,SRZ GEL,15,2019:; 2020:; 2021:; 2022:All TS lost; 2023:,2023,1,,
40,FOREG_02,406,PSME,51,1.8,0400414,121.3,1,98,SRZ GET,40,2019:; 2020:; 2021:; 2022:7 TS lost; 2023:,2023,1,,
41,FOREG_31,1311,TSHE,234,2.5,1400219,58.8,80,20,GRR GET,4,2019:; 2020:2 TS lost ; 2021:; 2022:; 2023:,2023,1,,
42,FOREG_31,1211,PSME,289,3,1300150,171,50,50,GRR GET,3,2019:No seedlings/trees; 2020:surveyed twice; 2021:1 TS lost; 2022:; 2023:,2023,1,,
43,FOREG_31,1310,PSME,213,1.6,1300176,59.4,45,55,GRR GET,1,2019:; 2020:1 TS lost; 2021:1 TS lost; 2022:litter ; 2023:,2023,1,,
44,FOREG_31,1009,THPL,158,1.65,1100261,105.1,50,50,GEL BWG,15,2019:most VAPA appear browsed; 2020:7 TS lost; 2021:; 2022:; 2023:,2023,1,,
45,FOREG_31,1209,TSHE,222,2.4,1200222,70.3,55,45,GRR CJD,15,2019:Old stump in northern half; 2020:4 TS lost ; 2021:; 2022:; 2023:,2023,1,,
46,FOREG_02,203,TSHE,308,2.3,0300947,,4,96,CJD BWG,45,2019:Prev tag 4898; 2020:6 TS lost; 2021:Log data not gathered in 2021; 2022:; 2023:Nearby tree = 03-00953 PSME 29.7 cm DBH,2023,1,,
47,FOREG_02,204,TSHE,352,1.7,0300398,55.8,5,55,SRZ GET,45,"2019:; 2020:; 2021:PT 68, 1 TS lost; 2022:; 2023:",2023,1,,
48,FOREG_02,401,TSHE,188,2.2,0500786,41,20,80,SRZ GEL,70,2019:; 2020:; 2021:; 2022:; 2023:,2023,1,,
49,FOREG_02,402,PSME,148,2.1,0500712,117,20,76,Srz Get,50,"2019:~5.5 m from >30cm CASH; 2020:1 TS lost; 2021:; 2022:05-00539 was measured at 110.8 cm DBH, is 2 m from 05-00712; 2023:",2023,1,,
50,FOREG_02,404,TSHE,114,2.8,0500429,,5,96,SRZ GEL,85,"2019:; 2020:5 TS lost, missing rebar; 2021:Tree 05-00899 was recorded at 56.1 cm DBH this year; 2022:; 2023:Nearyby tree = 05-00899 TSHE 57.5 cm DBH",2023,1,,
51,FOREG_31,910,TSHE,353,2.5,1200275,,,,,,"2019:Northern part in pit; 2020:Crushed by a tree, not resurveyed; 2021:Under log; 2022:Crushed by a tree, not resurveyed; 2023:Crushed by a tree, not resurveyed",2023,0,,
52,FOREG_31,910,TABR,155,1.3,1000305,23.7,20,80,GEL BWG,15,"2019:Nurse log in NE corner; 2020:2 TS lost, Note 02; 2021:No photo; 2022:; 2023:",2023,1,,
53,FOREG_31,911,PSME,148,1.7,0900008,160,21,79,GRR GET,0,"2019:; 2020:; 2021:; 2022:litter, 1 pole gone; 2023:",2023,1,,
54,FOREG_31,710,TSHE,172,2.1,0900022,75.3,35,65,GRR GET,15,2019:; 2020:1 TS lost; 2021:; 2022:1 TS lost; 2023:,2023,1,,
55,FOREG_31,709,ABAM,291,3,0900045,70.5,30,71,GEL BWG,35,"2019:5.5m from ""large"" PSME uphill; 2020:; 2021:; 2022:Paired tree DIED; 2023:Trees surrounding plot seem to be experiencing butt rot.",2023,1,,
56,FOREG_02,305,TSHE,154,1.9,0400074,58.9,10,80,CJD GET,15,"2019:; 2020:1 TS lost; 2021:Log data not gathered in 2021; 2022:debris in plot, NE pole bent forward, 9 TS lost; 2023:NE pole crushed by tree",2023,1,,
57,FOREG_02,303,TSHE,44,2.3,0400173,45.5,2,98,SRZ GEL,50,"2019:GPS 008, near fallen PSME pit; 2020:; 2021:PT-4922, 1 TS lost; 2022:2 TS lost; 2023:Downed TSHE over plot",2023,1,,
58,FOREG_02,101,PSME,60,2.4,0200405,122.9,25,80,CJD BWG,10,"2019:ca distance from tree to plot, big log in between the 2; 2020:; 2021:; 2022:Tree 02-00416 was measured at 126.7 cm DBH this year; 2023:",2023,1,,
59,FOREG_02,300,TSHE,350,2.2,0400948,65.5,5,95,CJD GET,15,2019:; 2020:1 TS lost; 2021:; 2022:; 2023:,2023,1,,
60,FOREG_02,401,PSME,298,2.9,0600746,118,1,99,SRZ GEL,75,2019:~2m from recently uprooted large PSME + TSHE; 2020:1 TS lost; 2021:1 TSHE TS lost; 2022:13 TS lost; 2023:,2023,1,,
61,FOREG_02,202,PSME,68,1.9,0300256,119.3,54,23,Srz Get,30,2019:mound; 2020:3 TS lost; 2021:2 TS lost; 2022:; 2023:No maianthemum ,2023,1,,
62,FOREG_02,500,PSME,62,3,0700421,117,4,90,SRZ GEL,65,2019:; 2020:2 TS lost; 2021:2 TSHE TS lost; 2022:5 TS lost ; 2023:,2023,1,,
63,FOREG_02,400,TSHE,351,2.7,0500871,49.2,2,98,CJD GET,80,2019:; 2020:; 2021:; 2022:3 TS lost; 2023:,2023,1,,
64,FOREG_02,502,TSHE,351,0.7,0600615,39.3,2,98,CJD GET,50,2019:; 2020:1 TS lost; 2021:Log data not gathered in 2021; 2022:7 TS lost; 2023:,2023,1,,
65,FOREG_02,600,PSME,38,3,,,0,100,CJD GET,75,"2019:; 2020:2 TS lost; 2021:; 2022:MAFA outside of plot, 6 TS lost; 2023:Nearby tree: TABR 11.2 cm DBH",2023,1,560517.5088,4896235.928
66,FOREG_02,600,PSME,44,2.1,0700267,128.7,1,99,CJD GET,85,"2019:~4m from 25cm TABR; 2020:1 TS lost; 2021:; 2022:Missing NW pole, 6 TS lost; 2023:",2023,1,,
67,FOREG_02,0,ACMA,36,2.4,0100668,,1,99,TRAINING,80,"2019:; 2020:; 2021:3 TS lost; 2022:Tree 01-00719 was measured as 11.5 cm DBH this year; 2023:CHECK: 27 cm ACMA was the original paired tree, but hasn't been entered the last two years, why?; Nearby tree: 01-00719 PSME 11.4 cm DBH",2023,1,,
68,FOREG_02,6,THPL,226,1.8,0100001,66,35,65,SRZ GEL,30,2019:no seedlings ; 2020:; 2021:; 2022:PT-4841; 2023:,2023,1,,
69,FOREG_02,307,THPL,66,1.9,0400001,67.7,3,97,GET SRZ,65,2019:~5.6m from TSHE; 5.7m from PSME; 2020:; 2021:; 2022:; 2023:Sketchy snag nearby ,2023,1,,
70,FOREG_02,307,THPL,274,2.2,0400106,63,2,98,SRZ GET,15,2019:no seedlings; 2020:; 2021:1 TS lost; 2022:All TS lost; 2023:,2023,1,,
71,FOREG_02,405,THPL,101,2.8,0500428,50.4,20,80,CJD GET,65,2019:bottom on game trail; 2020:2 TS lost; 2021:Log data not gathered in 2021; 2022:4 TS lost; 2023:NW and SE poles crushed by debris ,2023,1,,
72,FOREG_02,603,THPL,250,2.3,0600751,46,1,99,CJD GET,80,"2019:~5.5m from TSHE, no seedlings ; 2020:; 2021:; 2022:4 TS lost; 2023:",2023,1,,
73,FOREG_02,403,THPL,92,2.7,0400559,,,,,,"2019:~4.5m from 28 DBH lean TSHE; 2020:1 TS lost; 2021:1 TS lost; 2022:plot destroyed, not resurveyed; 2023:plot destroyed, not resurveyed",2023,0,,
74,FOREG_02,402,THPL,361,1.5,0500768,59,10,90,CJD GET,25,"2019:~5m from TSHE, no pole tag; 2020:5 TS lost; 2021:2 TS lost; 2022:; 2023:",2023,1,,
75,FOREG_38,707,TSHE,121,2.3,,84.7,1,99,CJD GET,85,"2019:; 2020:; 2021:; 2022:3 TS lost; 2023:CHECK: PSME recorded as paired tree in 2023 at 84.7 cm DBH; but TSHE was the paired tree, similar DBH.",2023,1,562135.1386,4897733.001
76,FOREG_38,607,TSHE,288,2.4,0700860,70.3,0,100,CJD GET,85,"2019:; 2020:19 TS lost; 2021:; 2022:2 TS lost; 2023:CHECK: PSME recorded as paired tree in 2023 at 70.3 cm DBH; but TSHE was the paired tree, similar DBH.",2023,1,,
77,FOREG_38,507,PSME,348,2.6,0500934,149,1,99,CJD GET,98,2019:; 2020:20 TS lost; 2021:; 2022:; 2023:,2023,1,,
78,FOREG_38,605,THPL,321,1.3,0600108,84,2,99,SRZ GEL,5,"2019:next to another large THPL, 5.8m from PSME, 5.3 TSHE; 2020:7 TS lost; 2021:; 2022:PT-2204, 2 TS lost, 2 entries- another by JJW 7/6, 83.4dbh, 0, 95, 10 moss; 2023:",2023,1,,
79,FOREG_38,307,THPL,312,1.6,0600690,92.8,0,100,CJD GET,25,2019:nurse logs intersecting in the plot; 2020:7 TS lost; 2021:; 2022:; 2023:Tree covered in baby spiders,2023,1,,
80,FOREG_38,307,TSHE,321,3.1,0600523,89.9,6,80,SRZ GEL,50,"2019:nurse logs intersecting in the plot; 2020:9 TS lost, surveyed twice; 2021:; 2022:; 2023:",2023,1,,
81,FOREG_38,7,ACMA,190,1.9,,64.9,5,95,CJD GET,5,2019:; 2020:; 2021:; 2022:; 2023:,2023,1,561963.0703,4897668.162
82,FOREG_38,206,PSME,360,1.7,,148,0,100,SRZ GEL,80,2019:; 2020:8 TS lost; 2021:1 TS lost; 2022:; 2023:,2023,1,562013.676,4897671.638
83,FOREG_38,607,THPL,360,1.3,0700986,96.5,65,35,CJD GET,10,2019:under young (<10 dbh) TSHE canopy; 2020:; 2021:; 2022:; 2023:,2023,1,,
84,FOREG_38,305,TSHE,354,1.4,0500102,47,2,98,SRZ GEL,20,2019:; 2020:; 2021:check DBH; 2022:; 2023:,2023,1,,
85,FOREG_38,306,TABR,264,1.5,0500375,41,2,100,CJD GET,70,2019:; 2020:; 2021:; 2022:; 2023:CHECK: tag number of paired adult tree,2023,1,,
86,FOREG_38,205,TSHE,86,2,0300349,88.6,1,99,SRZ GEL ,57,2019:; 2020:; 2021:; 2022:; 2023:,2023,1,,
87,FOREG_38,305,TSHE,168,2.4,0300103,57.5,0,100,SRZ GEL,75,"2019:Prev tag 2259; 2020:1 TS lost; 2021:check tree ID; JAL: mapping IDed as TSHE, double-check; 2022:4 TS lost; 2023:",2023,1,,
88,FOREG_38,405,THPL,330,2.5,0400249,83.9,1,99,SRZ GEL,90,2019:5.2m from TSHE; prev tag 2253; 2020:; 2021:; 2022:; 2023:,2023,1,,
89,FOREG_38,604,PSME,268,2.2,0600020,,,,,,"2019:Prev tag 2214; 2020:; 2021:PT-2214; 2022:plot destroyed- crushed under tree fall; 2023:plot destroyed, not resurveyed",2023,0,,
90,FOREG_38,604,THPL,238,1.5,0700015,125,15,85,SRZ GEL,35,2019:70% is old nurse log; 2020:1 TS lost; 2021:; 2022:2 TS lost; 2023:,2023,1,,
91,FOREG_38,706,PSME,264,3,,154.8,2,98,CJD GET,40,"2019:NURSE, 5.4 + 5.8m from TSHE; 1m from 25 dbh TSHE; 2020:; 2021:; 2022:16 TS lost; 2023:",2023,1,562147.1676,4897727.891
92,FOREG_38,606,THPL,94,1.5,,95.3,2,98,CJD GET,2,"2019:temp flooded in spring?; 2020:missing rebar; 2021:1 TS lost; 2022:1 TS lost, 1 pole gone; 2023:",2023,1,562123.6363,4897707.79
93,FOREG_38,6,ALRU,200,1.9,,42.8,20,80,CJD GET,5,2019:area seasonally floods?; 2020:2 TS lost; 2021:; 2022:; 2023:,2023,1,561983.7,4897639
94,FOREG_38,4,ACMA,252,1.8,0200862,73.3,35,65,GEL SRZ,20,"2019:Prev tag 2337; 2020:ASCA + 2 TS lost; 2021:Under fallen PSME, no way to determine DBH; 2022:PT-2337; 2023:CHECK PSP tag number; PSPtag = 2337",2023,1,562013.1469,4897600.881
95,FOREG_38,104,TABR,172,2.25,0400722,38,20,80,SRZ GEL,30,2019:; 2020:; 2021:NW corner needs rebar; 2022:; 2023:,2023,1,,
96,FOREG_38,603,THPL,308,2.6,2448,123.2,40,60,SRZ GEL,25,"2019:Prev tag 2448; 2020:; 2021:PT-2448; 2022:PT-2448, debris in half of plot; 2023:",2023,1,562132.2543,4897615.89
97,FOREG_38,103,THPL,274,2.5,0200212,67.5,4,96,SRZ GEL,47,"2019:5m from 29cm TSHE; 2020:missing 1 rebar; 2021:PT-2565, missing 3 rebar/pvc; 2022:3 Poles missing, oriented wrong, trampled, 3 TS lost, 1 TP dead; 2023:3 poles missing ",2023,1,,
98,FOREG_38,605,THPL,278,2.89,0700713,75.5,15,85,SRZ GEL,30,"2019:NURSE log; 2020:5 TS lost, Nurse; 2021:; 2022:3 TS lost; 2023:Last years seedling heights consistently larger ",2023,1,,
99,FOREG_38,606,PSME,272,2.9,0600272,172,10,90,SRZ GEL,10,2019:; 2020:; 2021:; 2022:Large debris; 2023:SE pole crushed by debris ,2023,1,,
100,FOREG_38,506,PSME,10,0.9,0500074,158.8,15,85,CJD GET,25,2019:~4cm dbh ACCI (ground) across plot but not rooted; 2020:; 2021:; 2022:; 2023:,2023,1,,
101,FOREG_31,908,TSHE,158,2.1,1000262,83.5,45,55,GEL BWG,0,2019:; 2020:; 2021:; 2022:; 2023:CHECK: paired adult tag number,2023,1,,
102,FOREG_31,801,PSME,129,1.3,0900333,171,95,5,SRZ,4,2019:barren plot; 2020:; 2021:; 2022:litter; 2023:,2023,1,,
103,FOREG_31,711,TSHE,159,2.1,0700313,38.8,98,2,GEL BWG,2,"2019:barren plot, 2 seedlings; 2020:3 TS lost, Note 02; 2021:; 2022:; 2023:",2023,1,,
104,FOREG_31,709,TABR,7,1.5,0900440,22,6,94,GRR GET,35,"2019:old NURSE goes through SW corner; 2020:6 TS lost, Note 02; 2021:; 2022:1 TS lost; 2023:",2023,1,,
105,FOREG_31,800,TSHE,199,1.9,0900221,53,70,15,SRZ,15,2019:1st day including moss for AAN; 2020:; 2021:; 2022:litter; 2023:,2023,1,,
106,FOREG_31,1001,TSHE,265,2.05,1100075,,85,15,SRZ GET BWG,5,2019:; 2020:1 TS lost; 2021:; 2022:litter; 2023:Nearby tree: 10-00023 TSHE 54.2 cm DBH,2023,1,,
107,FOREG_31,1001,PSME,175,1.9,1000070,108.6,100,0,SRZ GET BWG,0,2019:; 2020:1 TS lost; 2021:; 2022:litter; 2023:,2023,1,,
108,FOREG_31,1100,PSME,7,1.9,1200001,119,23,77,SRZ GET BWG,5,2019:NURSE in SE; 2020:; 2021:3 TS lost; 2022:litter; 2023:,2023,1,,
109,FOREG_31,1201,PSME,170,1.8,1300062,128.1,8,92,GRR CJD,0,2019:; 2020:2 TS lost; 2021:; 2022:; 2023:,2023,1,,
110,FOREG_31,1200,TABR,175,1.4,1300074,,3,97,SRZ GET BWG,40,2019:closer than 10m to plot boundary; 2020:; 2021:; 2022:; 2023:Nearby tree: 13-00085 PSME 73.1 cm DBH,2023,1,,
111,FOREG_31,1401,TSHE,50,1.45,1300014,37.6,15,85,SRZ GET BWG,65,2019:mostly moss cover; 2020:; 2021:; 2022:litter; 2023:,2023,1,,
112,FOREG_31,1400,TSHE,121,1.7,1500289,,85,15,GET SRZ BWG,3,2019:; 2020:; 2021:; 2022:litter; tree 15-00507 measured at 52.3 this year; 2023:Nearby tree: 15-00507 TSHE 53.2 cm DBH,2023,1,,
113,FOREG_31,1500,PSME,299,2.2,1600428,,60,40,SRZ GET BWG,2,2019:; 2020:; 2021:; 2022:litter; 2023:Nearby tree: 16-00148 PSME 126.3 cm DBH,2023,1,,
114,FOREG_31,1501,THPL,110,0.9,1600781,53.5,70,30,SRZ GET BWG,20,2019:40cm wide NURSE on south side; 2020:; 2021:; 2022:; 2023:,2023,1,,
115,FOREG_31,1402,THPL,227,1.9,1500496,86.4,35,65,SRZ GET BWG,30,"2019:; 2020:1 TS lost, debris in plot; 2021:6 TS lost; 2022:litter; 2023:",2023,1,,
116,FOREG_31,1202,PSME,27,2.1,1300289,154.2,44,59,GRR CJD,1,2019:; 2020:; 2021:; 2022:; 2023:,2023,1,,
117,FOREG_31,1304,PSME,110,1.7,1400870,133.9,97,3,GRR CJD,3,2019:POM ~2m above burls; 2020:6 TS lost; 2021:; 2022:litter; 2023:,2023,1,,
118,FOREG_31,1305,TSHE,280,1.2,1400813,43,1,99,CJD,80,2019:; 2020:; 2021:; 2022:; 2023:,2023,1,,
119,FOREG_31,1207,THPL,239,2.2,1301301,68.7,20,80,GRR CJD,1,2019:; 2020:1 TS lost; 2021:; 2022:; 2023:,2023,1,,
120,FOREG_31,1308,PSME,63,0.6,1400277,207.7,95,5,GRR CJD,1,2019:; 2020:1 TS lost; 2021:; 2022:; 2023:,2023,1,,
121,FOREG_31,706,THPL,63,0.6,0900576,68.6,45,55,SRZ,6,2019:; 2020:1 TS lost; 2021:; 2022:; 2023:,2023,1,,
122,FOREG_31,707,PSME,63,0.6,0800308,155,37,63,CJD,1,2019:NW of 0707; 2020:PYPI tree code; 2021:; 2022:; 2023:,2023,1,,
123,FOREG_31,606,THPL,63,0.6,0700170,51.8,0,100,CJD,80,2019:In THPL patch; tree directly next to creek; 2020:; 2021:; 2022:; 2023:,2023,1,,
124,FOREG_31,704,PSME,63,0.6,0800154,164.3,40,60,GEL BWG,0,2019:; 2020:; 2021:; 2022:; 2023:,2023,1,,
125,FOREG_31,804,TSHE,63,0.6,0900768,86,53,58,CJD,1,2019:; 2020:2 TS lost; 2021:PT-2753; 2022:; 2023:,2023,1,,
126,FOREG_31,906,THPL,63,0.6,1000489,112.3,60,40,SRZ,5,2019:; 2020:; 2021:; 2022:lots of debris; 2023:,2023,1,,
127,FOREG_31,1005,TSHE,63,0.6,1100360,68.8,20,80,SRZ,25,"2019:Surrounded by TSHE; 2020:2 TS lost, CASC7?; 2021:2 TS lost, TSHE?; 2022:; 2023:",2023,1,,
128,FOREG_31,905,TSHE,63,0.6,0900960,96.7,38,62,CJD,10,2019:NURSE log (old) in middle of plot; 2020:; 2021:; 2022:; 2023:,2023,1,,
129,FOREG_31,1105,XTSHE,63,0.6,1200100,,20,90,CJD,3,"2019:Prev tag 5099, in canopy opening; NURSE crosses top of plot; 2020:4 TS lost, adult tree downed, partially damaged plot; legacy TSHE plot = XTSHE; 2021:PT-5099, 12-00100 Tip up, plot bent; 2022:Paired tree fallen, plot poles moved; 2023:Dominant adult dead; legacy TSHE plot = XTSHE",2023,1,,
130,FOREG_31,1003,TSHE,63,0.6,1100389,59.3,0,100,CJD,70,2019:In canopy opening; 2020:; 2021:; 2022:lots of debris; 2023:,2023,1,,
131,FOREG_31,1004,TSHE,63,0.6,1100951,64.7,28,72,CJD,20,2019:Prev tag 5279; 2020:; 2021:; 2022:; 2023:,2023,1,,
132,FOREG_31,803,PSME,63,0.6,0900810,96.1,97,3,SRZ,0,2019:; 2020:; 2021:; 2022:; 2023:,2023,1,,
133,FOREG_31,902,TSHE,63,0.6,1000197,57.8,70,30,SRZ,15,2019:; 2020:; 2021:; 2022:litter; 2023:Lower left plot marker broken,2023,1,,
134,FOREG_31,703,PSME,63,0.6,0700660,164,60,40,SRZ,0,2019:No herbs present ; 2020:; 2021:; 2022:litter; 2023:Last years BENE heights lower across plot ,2023,1,,
135,FOREG_31,604,TSHE,63,0.6,0800174,46.7,92,8,SRZ,2,2019:; 2020:; 2021:2 TS lost; 2022:; 2023:,2023,1,,
136,FOREG_31,602,PSME,63,0.6,0800827,125.5,30,70,SRZ,30,2019:; 2020:; 2021:Not confident in DBH measurement; 2022:; 2023:,2023,1,,
137,FOREG_31,501,TSHE,63,0.6,0700810,42.6,80,20,SRZ,4,2019:; 2020:; 2021:; 2022:paired adult tree fell on small ABAM; may now be a legacy plot XTSHE; 2023:CHECK: note how much of plot is covered by large tree that fell; also check state of paired adult TSHE (07-00810); Large WD on plot,2023,1,,
138,FOREG_31,1102,PSME,63,0.6,1200024,86.4,17,83,SRZ GET BWG,10,"2019:; 2020:; 2021:1 TS lost, suppose 88.5; 2022:; 2023:",2023,1,,
139,FOREG_31,1002,PSME,63,0.6,1100841,145.9,40,60,SRZ GET BWG,0,"2019:Prev tag 5385, near root rot clearing; 2020:; 2021:; 2022:litter; 2023:",2023,1,,
140,FOREG_31,1008,PSME,63,0.6,1100137,164,15,85,SRZ,25,2019:; 2020:; 2021:; 2022:; 2023:,2023,1,,
141,FOREG_22,0,PSME,63,0.6,0100024,100,1,99,MTR CJD RPH,0,2019:Blue tag 445; 2020:12 TS lost ; 2021:1 TS lost; 2022:; 2023:,2023,1,,
